Parameter,Time,Value,Global
F2,0.64,2290.0,False
F2,0.65,2290.0,False
F2,0.66,2290.0,False
F2,0.67,2290.0,False
F2,0.68,2290.0,False
F2,0.6900000000000001,2290.0,False
F2,0.7000000000000001,2290.0,False
F2,0.71,2290.0,False
F2,0.72,2290.0,False
F2,0.73,2290.0,False
F2,0.74,2261.020408163265,False
F2,0.75,2203.0612244897957,False
F2,0.76,2116.122448979592,False
F2,0.77,2000.204081632653,False
F2,0.78,1855.3061224489795,False
F2,0.79,1681.4285714285713,False
F2,0.8,1478.5714285714287,False
F2,0.81,1304.6938775510205,False
F2,0.8200000000000001,1159.795918367347,False
F2,0.8300000000000001,1043.8775510204082,False
F2,0.84,956.9387755102042,False
F2,0.85,898.9795918367347,False
F2,0.86,870.0,False
F2,0.87,870.0,False
F2,0.88,870.0,False
F2,0.89,870.0,False
F2,0.9,870.0,False
F2,0.91,870.0,False
F2,0.92,870.0,False
F2,0.93,870.0,False
F2,0.9400000000000001,870.0,False
F2,0.9500000000000001,870.0,False
F2,0.96,870.0,False
F2,0.97,870.0,False
F2,0.98,870.0,False
F2,0.99,870.0,False
F2,1.0,870.0,False
F2,1.01,870.0,False
F2,1.02,870.0,False
F2,1.03,870.0,False
F2,1.04,870.0,False
F2,1.05,870.0,False
F2,1.06,870.0,False
F2,1.07,870.0,False
F2,1.08,870.0,False
F2,1.09,870.0,False
F2,1.1,870.0,False
F2,1.11,870.0,False
F2,1.12,870.0,False
F2,1.1300000000000001,870.0,False
F2,1.1400000000000001,870.0,False
F2,1.1500000000000001,893.6734693877552,False
F2,1.16,941.0204081632654,False
F2,1.17,1012.0408163265307,False
F2,1.18,1106.734693877551,False
F2,1.19,1225.1020408163265,False
F2,1.2,1367.142857142857,False
F2,1.21,1532.857142857143,False
F2,1.22,1674.8979591836735,False
F2,1.23,1793.265306122449,False
F2,1.24,1887.9591836734694,False
F2,1.25,1958.9795918367347,False
F2,1.26,2006.3265306122448,False
F2,1.27,2030.0,False
F2,1.28,2030.0,False
F2,1.29,2030.0,False
F2,1.3,2030.0,False
F2,1.31,2030.0,False
F2,1.32,2030.0,False
F2,1.33,2030.0,False
F2,1.34,2030.0,False
F2,1.35,2030.0,False
F2,1.36,2030.0,False
F2,1.37,2030.0,False
F2,1.3800000000000001,2030.0,False
F2,1.3900000000000001,2030.0,False
F2,1.4000000000000001,2030.0,False
F2,1.41,2030.0,False
F2,1.42,2030.0,False
F2,1.43,2030.0,False
F2,1.44,2030.0,False
F2,1.45,2030.0,False
F2,1.46,2030.0,False
F2,1.47,2030.0,False
F2,1.48,2030.0,False
F2,1.49,2030.0,False
F2,1.5,2030.0,False
F2,1.51,2030.0,False
F2,1.52,2030.0,False
F2,1.53,2030.0,False
F2,1.54,2004.8979591836735,False
F2,1.55,1954.6938775510205,False
F2,1.56,1879.387755102041,False
F2,1.57,1778.9795918367347,False
F2,1.58,1653.469387755102,False
F2,1.59,1502.857142857143,False
F2,1.6,1327.142857142857,False
F2,1.61,1176.530612244898,False
F2,1.62,1051.0204081632653,False
F2,1.6300000000000001,950.6122448979593,False
F2,1.6400000000000001,875.3061224489796,False
F2,1.6500000000000001,825.1020408163266,False
