Parameter,Time,Value,Global
F1,0.79,275.15625,False
F1,0.8,277.5,False
F1,0.81,280.0,False
F1,0.8200000000000001,282.5,False
F1,0.8300000000000001,285.0,False
F1,0.84,287.5,False
F1,0.85,290.0,False
F1,0.86,292.5,False
F1,0.87,294.84375,False
F1,0.88,296.875,False
F1,0.89,298.4375,False
F1,0.9,299.375,False
F1,0.91,299.84375,False
F1,0.92,300.0,False
F1,0.93,300.0,False
F1,0.9400000000000001,300.0,False
F1,0.9500000000000001,300.0,False
F1,0.96,300.0,False
F1,0.97,300.0,False
F1,0.98,300.0,False
F1,0.99,300.0,False
F1,1.0,300.0,False
F1,1.01,300.0,False
F1,1.02,300.0,False
F1,1.03,300.0,False
F1,1.04,300.0,False
F1,1.05,300.0,False
F1,1.06,300.0,False
F1,1.07,300.0,False
F1,1.08,300.0,False
F1,1.09,300.0,False
F1,1.1,300.0,False
F1,1.11,300.0,False
F1,1.12,305.625,False
F1,1.1300000000000001,316.875,False
F1,1.1400000000000001,333.75,False
F1,1.1500000000000001,356.25,False
F1,1.16,373.125,False
F1,1.17,384.375,False
F1,1.18,390.0,False
F1,1.19,390.0,False
F1,1.2,390.0,False
F1,1.21,390.0,False
F1,1.22,390.0,False
F1,1.23,390.0,False
F1,1.24,390.0,False
F1,1.25,390.0,False
F1,1.26,390.0,False
F1,1.27,390.0,False
F1,1.28,390.0,False
F1,1.29,390.0,False
F1,1.3,390.0,False
F1,1.31,390.0,False
F1,1.32,390.0,False
F1,1.33,390.0,False
F1,1.34,390.0,False
F1,1.35,390.0,False
F1,1.36,390.0,False
F1,1.37,390.0,False
F1,1.3800000000000001,390.0,False
F1,1.3900000000000001,390.0,False
F1,1.4000000000000001,390.0,False
F1,1.41,390.0,False
F1,1.42,390.0,False
F1,1.43,390.0,False
F1,1.44,390.0,False
F1,1.45,390.0,False
F1,1.46,390.0,False
F1,1.47,390.0,False
F1,1.48,390.0,False
F1,1.49,390.0,False
F1,1.5,390.0,False
F1,1.51,390.0,False
F1,1.52,390.0,False
F1,1.53,390.0,False
F1,1.54,390.0,False
F1,1.55,390.0,False
F1,1.56,390.0,False
F1,1.57,390.0,False
F1,1.58,390.0,False
F1,1.59,390.0,False
F1,1.6,390.0,False
F1,1.61,390.0,False
F1,1.62,390.0,False
F1,1.6300000000000001,390.0,False
F1,1.6400000000000001,390.0,False
F1,1.6500000000000001,390.0,False
F1,1.6600000000000001,390.0,False
F1,1.67,390.0,False
F1,1.68,390.0,False
F1,1.69,390.0,False
F1,1.7,390.0,False
F1,1.71,390.0,False
F1,1.72,390.0,False
F1,1.73,394.375,False
F1,1.74,403.125,False
F1,1.75,416.25,False
F1,1.76,433.75,False
F1,1.77,446.875,False
F1,1.78,455.625,False
F1,1.79,460.0,False
F1,1.8,460.0,False
F1,1.81,460.0,False
F1,1.82,460.0,False
F1,1.83,460.0,False
F1,1.84,460.0,False
F1,1.85,460.0,False
F1,1.86,460.0,False
F1,1.87,460.0,False
F1,1.8800000000000001,460.0,False
F1,1.8900000000000001,460.0,False
F1,1.9000000000000001,460.0,False
F1,1.9100000000000001,460.0,False
F1,1.92,460.0,False
F1,1.93,460.0,False
F1,1.94,460.0,False
F1,1.95,460.0,False
F1,1.96,460.0,False
F1,1.97,460.0,False
F1,1.98,460.0,False
F1,1.99,460.0,False
F1,2.0,460.0,False
F2,0.0,1090.0,False
F2,0.01,1090.0,False
F2,0.02,1090.0,False
F2,0.03,1090.0,False
F2,0.04,1090.0,False
F2,0.05,1090.0,False
F2,0.06,1090.0,False
F2,0.07,1090.0,False
F2,0.08,1090.0,False
F2,0.09,1090.0,False
F2,0.1,1090.0,False
F2,0.11,1090.0,False
F2,0.12,1090.0,False
F2,0.13,1090.0,False
F2,0.14,1090.0,False
F2,0.15,1090.0,False
F2,0.16,1090.0,False
F2,0.17,1090.0,False
F2,0.18,1090.0,False
F2,0.19,1090.0,False
F2,0.2,1090.0,False
F2,0.21,1090.0,False
F2,0.22,1090.0,False
F2,0.23,1090.0,False
F2,0.24,1165.0,False
F2,0.25,1315.0,False
F2,0.26,1540.0,False
F2,0.27,1840.0,False
F2,0.28,2065.0,False
F2,0.29,2215.0,False
F2,0.3,2290.0,False
F2,0.31,2290.0,False
F2,0.32,2290.0,False
F2,0.33,2290.0,False
F2,0.34,2290.0,False
F2,0.35000000000000003,2290.0,False
F2,0.36,2290.0,False
F2,0.37,2290.0,False
F2,0.38,2290.0,False
F2,0.39,2290.0,False
F2,0.4,2290.0,False
F2,0.41000000000000003,2290.0,False
F2,0.42,2290.0,False
F2,0.43,2290.0,False
F2,0.44,2290.0,False
F2,0.45,2290.0,False
F2,0.46,2290.0,False
F2,0.47000000000000003,2290.0,False
F2,0.48,2290.0,False
F2,0.49,2290.0,False
F2,0.5,2290.0,False
F2,0.51,2290.0,False
F2,0.52,2290.0,False
F2,0.53,2290.0,False
F2,0.54,2290.0,False
F2,0.55,2290.0,False
F2,0.56,2290.0,False
F2,0.5700000000000001,2290.0,False
F2,0.58,2290.0,False
F2,0.59,2290.0,False
F2,0.6,2290.0,False
F2,0.61,2290.0,False
F2,0.62,2290.0,False
F2,0.63,2290.0,False
F2,0.64,2290.0,False
F2,0.65,2290.0,False
F2,0.66,2290.0,False
F2,0.67,2290.0,False
F2,0.68,2290.0,False
F2,0.6900000000000001,2290.0,False
F2,0.7000000000000001,2290.0,False
F2,0.71,2290.0,False
F2,0.72,2290.0,False
F2,0.73,2290.0,False
F2,0.74,2290.0,False
F2,0.75,2282.6041666666665,False
F2,0.76,2260.4166666666665,False
F2,0.77,2216.0416666666665,False
F2,0.78,2142.083333333333,False
F2,0.79,2045.9374999999998,False
F2,0.8,1934.9999999999998,False
F2,0.81,1816.6666666666665,False
F2,0.8200000000000001,1698.3333333333333,False
F2,0.8300000000000001,1580.0,False
F2,0.84,1461.6666666666667,False
F2,0.85,1343.3333333333335,False
F2,0.86,1225.0,False
F2,0.87,1114.0625,False
F2,0.88,1017.9166666666666,False
F2,0.89,943.9583333333333,False
F2,0.9,899.5833333333333,False
F2,0.91,877.3958333333333,False
F2,0.92,869.9999999999999,False
F2,0.93,869.9999999999999,False
F2,0.9400000000000001,869.9999999999999,False
F2,0.9500000000000001,869.9999999999999,False
F2,0.96,869.9999999999999,False
F2,0.97,869.9999999999999,False
F2,0.98,869.9999999999999,False
F2,0.99,869.9999999999999,False
F2,1.0,869.9999999999999,False
F2,1.01,869.9999999999999,False
F2,1.02,869.9999999999999,False
F2,1.03,869.9999999999999,False
F2,1.04,869.9999999999999,False
F2,1.05,869.9999999999999,False
F2,1.06,869.9999999999999,False
F2,1.07,869.9999999999999,False
F2,1.08,869.9999999999999,False
F2,1.09,869.9999999999999,False
F2,1.1,869.9999999999999,False
F2,1.11,869.9999999999999,False
F2,1.12,942.4999999999999,False
F2,1.1300000000000001,1087.5,False
F2,1.1400000000000001,1305.0,False
F2,1.1500000000000001,1595.0,False
F2,1.16,1812.5,False
F2,1.17,1957.5,False
F2,1.18,2030.0,False
F2,1.19,2030.0,False
F2,1.2,2030.0,False
F2,1.21,2030.0,False
F2,1.22,2030.0,False
F2,1.23,2030.0,False
F2,1.24,2030.0,False
F2,1.25,2030.0,False
F2,1.26,2030.0,False
F2,1.27,2030.0,False
F2,1.28,2030.0,False
F2,1.29,2030.0,False
F2,1.3,2030.0,False
F2,1.31,2030.0,False
F2,1.32,2030.0,False
F2,1.33,2030.0,False
F2,1.34,2030.0,False
F2,1.35,2030.0,False
F2,1.36,2030.0,False
F2,1.37,2030.0,False
F2,1.3800000000000001,2030.0,False
F2,1.3900000000000001,2030.0,False
F2,1.4000000000000001,2030.0,False
F2,1.41,2030.0,False
F2,1.42,2030.0,False
F2,1.43,2030.0,False
F2,1.44,2030.0,False
F2,1.45,2030.0,False
F2,1.46,2030.0,False
F2,1.47,2030.0,False
F2,1.48,2030.0,False
F2,1.49,2030.0,False
F2,1.5,2030.0,False
F2,1.51,2030.0,False
F2,1.52,2030.0,False
F2,1.53,2030.0,False
F2,1.54,2030.0,False
F2,1.55,2030.0,False
F2,1.56,2030.0,False
F2,1.57,2030.0,False
F2,1.58,2030.0,False
F2,1.59,2030.0,False
F2,1.6,2030.0,False
F2,1.61,2030.0,False
F2,1.62,2030.0,False
F2,1.6300000000000001,2030.0,False
F2,1.6400000000000001,2030.0,False
F2,1.6500000000000001,2030.0,False
F2,1.6600000000000001,2030.0,False
F2,1.67,2030.0,False
